update,rollout_steps,episodes_finished,completed,timeouts,trained_win_rate,opponent_win_rate,average_step_reward,trainable_samples,fighter_samples,cleric_samples,wizard_samples,policy_loss,value_loss,entropy,loss,checkpoint,curriculum_level,curriculum_stage,curriculum_kind,training_classes,curriculum_window_size,curriculum_window_win_rate,curriculum_threshold,curriculum_updates_on_level
5,1024,80,80,0,0.875,0.125,-0.07732714843749999,470,470,0,0,-0.15217653289437294,16.523638606071472,2.5887770652770996,8.083755135536194,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,1,Fighter_fundamentals,class,Fighter,30,0.8333333333333334,0.7,5
10,1024,101,101,0,0.8910891089108911,0.10891089108910891,0.3080888671875,507,507,0,0,-0.06301699532195926,18.81511926651001,1.983700543642044,9.324705481529236,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,1,Fighter_fundamentals,class,Fighter,30,0.9,0.7,10
15,1024,114,114,0,0.8947368421052632,0.10526315789473684,0.617314453125,530,530,0,0,0.5124424720803896,10.658113241195679,1.434836059808731,5.827150742212932,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,1,Fighter_fundamentals,class,Fighter,30,0.8333333333333334,0.7,15
20,1024,65,65,0,0.8153846153846154,0.18461538461538463,0.3488125,476,476,0,0,0.46427198126912117,13.897884845733643,1.3514584004878998,7.3996997475624084,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,2,Fighter_Champion_duel,class,Fighter,30,0.9,0.7,5
25,1024,68,68,0,0.7941176470588235,0.20588235294117646,0.3848349609375,470,470,0,0,0.5213962830603123,11.266823768615723,1.3130864799022675,6.1416773200035095,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,2,Fighter_Champion_duel,class,Fighter,30,0.8,0.7,10
30,1024,67,67,0,0.8805970149253731,0.11940298507462686,0.418609375,468,468,0,0,0.608795277774334,7.339178025722504,1.2433225512504578,4.265951037406921,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,2,Fighter_Champion_duel,class,Fighter,30,0.8666666666666667,0.7,15
35,1024,8,6,2,0.6666666666666666,0.3333333333333333,-0.0200419921875,657,351,306,0,-0.07986678881570697,1.6039027671019237,1.1504522760709126,0.7105800633629163,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,3,Fighter_with_support_ally,class,Fighter,30,0.7333333333333333,0.7,5
40,1024,11,11,0,0.6363636363636364,0.36363636363636365,-0.067517578125,653,335,318,0,-0.27750924477974576,2.3343086739381156,1.1177790065606434,0.8784673064947128,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,3,Fighter_with_support_ally,class,Fighter,30,0.8,0.7,10
45,1024,6,5,1,1.0,0.0,-0.013014648437499998,695,341,354,0,-0.13315316755324602,1.5769448180993397,0.7360090066989263,0.6479591553409895,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,3,Fighter_with_support_ally,class,Fighter,30,0.7666666666666667,0.7,15
50,1024,17,17,0,0.8235294117647058,0.17647058823529413,-0.011487304687499998,645,435,210,0,-0.11094651805857818,5.628511468569438,0.7524949858585993,2.695784250895182,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,4,Cleric_fundamentals,class,Cleric,30,0.8,0.7,5
