update,rollout_steps,episodes_finished,completed,timeouts,trained_win_rate,opponent_win_rate,average_step_reward,trainable_samples,fighter_samples,cleric_samples,wizard_samples,policy_loss,value_loss,entropy,loss,checkpoint,curriculum_level,curriculum_stage,curriculum_kind,training_classes,curriculum_window_size,curriculum_window_win_rate,curriculum_threshold,curriculum_updates_on_level
5,1024,16,16,0,0.5625,0.4375,-0.054166015625,164,0,164,0,-0.051889754831790924,4.34925901889801,1.2111534476280212,2.1106282472610474,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,4,Cleric_fundamentals,class,Cleric,30,0.5333333333333333,0.65,5
10,1024,16,16,0,0.5625,0.4375,-0.058546875,209,0,209,0,0.05887981317937374,6.0901312828063965,1.3605081737041473,3.0903403759002686,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,4,Cleric_fundamentals,class,Cleric,30,0.6,0.65,10
15,1024,18,18,0,0.5555555555555556,0.4444444444444444,-0.0459931640625,210,0,210,0,-0.11021274141967297,6.033920884132385,1.4815113544464111,2.8919326066970825,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,4,Cleric_fundamentals,class,Cleric,30,0.5666666666666667,0.65,15
20,1024,18,18,0,0.7777777777777778,0.2222222222222222,-0.0336533203125,279,0,279,0,-0.4832083098590374,6.479602158069611,0.9728184565901756,2.7468645572662354,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,5,Cleric_resources,class,Cleric,30,0.8333333333333334,0.65,5
25,1024,21,21,0,0.9047619047619048,0.09523809523809523,-0.058287109375,323,0,323,0,-0.07016259897500277,5.669392108917236,0.8442639112472534,2.756090760231018,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,5,Cleric_resources,class,Cleric,30,0.9,0.65,10
30,1024,21,21,0,0.8095238095238095,0.19047619047619047,-0.033560546875,296,0,296,0,-0.0639953468926251,5.390173673629761,0.685608796775341,2.6242354214191437,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,5,Cleric_resources,class,Cleric,30,0.8333333333333334,0.65,15
35,1024,13,13,0,0.38461538461538464,0.6153846153846154,0.030562500000000003,213,12,201,0,0.15676644444465637,4.021754026412964,0.7229630798101425,2.1604138612747192,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,6,Cleric_Life_support,class,Cleric,30,0.4666666666666667,0.65,5
40,1024,11,11,0,0.45454545454545453,0.5454545454545454,0.05211816406250001,167,0,167,0,0.3475315421819687,3.242916166782379,1.0725187063217163,1.958264410495758,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,6,Cleric_Life_support,class,Cleric,30,0.36666666666666664,0.65,10
45,1024,13,13,0,0.7692307692307693,0.23076923076923078,-0.010851562499999997,130,0,130,0,0.28459784388542175,4.5522860288619995,1.3307743072509766,2.547433078289032,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,6,Cleric_Life_support,class,Cleric,30,0.5666666666666667,0.65,15
50,1024,11,10,1,0.4,0.6,-0.007980468749999999,141,0,141,0,0.3108517602086067,1.4740652441978455,1.0512601435184479,1.0373717844486237,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,6,Cleric_Life_support,class,Cleric,30,0.5,0.65,20
