update,rollout_steps,episodes_finished,completed,timeouts,trained_win_rate,opponent_win_rate,average_step_reward,policy_loss,value_loss,entropy,loss,checkpoint,curriculum_level,curriculum_stage,curriculum_window_size,curriculum_window_win_rate,curriculum_threshold,curriculum_updates_on_level
1,1024,69,69,0,0.6231884057971014,0.37681159420289856,-0.11494335937499998,0.31571786974867183,18.30707573890686,3.6746750275293985,9.432508905728659,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.5,0.75,1
2,1024,79,79,0,0.6582278481012658,0.34177215189873417,-0.1975048828125,-0.15916018870969614,15.77512232462565,3.568666676680247,7.692714254061381,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.8,0.75,2
3,1024,72,72,0,0.5694444444444444,0.4305555555555556,-0.14720214843749999,-0.18182930257171392,14.584319512049357,3.534421722094218,7.074986179669698,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.55,0.75,3
4,1024,76,76,0,0.5,0.5,-0.09963183593749998,-0.2092346859474977,15.71170457204183,3.6671701669692993,7.609945893287659,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.45,0.75,4
5,1024,77,77,0,0.5974025974025974,0.4025974025974026,-0.180384765625,-0.31244804089268047,14.658223787943522,3.60448424021403,6.980618953704834,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.6,0.75,5
6,1024,80,80,0,0.575,0.425,-0.1704091796875,-0.207847544302543,14.678486665089926,3.649785101413727,7.094897945721944,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.55,0.75,6
7,1024,71,71,0,0.5774647887323944,0.4225352112676056,-0.1622294921875,-0.3173322876294454,14.78056271870931,3.5820660392443338,7.037128448486328,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.65,0.75,7
8,1024,74,74,0,0.5405405405405406,0.4594594594594595,-0.21917089843749998,-0.21218373688558737,14.310322999954224,3.483209232489268,6.908145745595296,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.5,0.75,8
9,1024,71,71,0,0.5352112676056338,0.4647887323943662,-0.0887041015625,-0.2631946434266865,14.878221035003662,3.442397157351176,7.141491889953613,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.55,0.75,9
10,1024,80,80,0,0.525,0.475,-0.05125292968749999,-0.2018864161024491,16.378333409627277,3.3121328552563987,7.954158862431844,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.35,0.75,10
